"zcta5","county","cntyname","zipname","pop2k","afact"
"ZIP Census Tabulation Area","county","cntyname","zipname","Total Pop, 2000 census","zcta5 to county alloc factor"
"63767","29201","Scott MO","MORLEY",787,1 
"63769","29031","Cape Girardeau MO","OAK RIDGE",1300,1 
"63770","29031","Cape Girardeau MO","OLD APPLETON",108,0.939 
"63770","29157","Perry MO","OLD APPLETON",7,0.061 
"63771","29031","Cape Girardeau MO","ORAN",10,0.004 
"63771","29201","Scott MO","ORAN",2603,0.913 
"63771","29207","Stoddard MO","ORAN",239,0.084 
"63774","29201","Scott MO","PERKINS",170,1 
"63775","29017","Bollinger MO","PERRYVILLE",53,0.003 
"63775","29031","Cape Girardeau MO","PERRYVILLE",95,0.006 
"63775","29157","Perry MO","PERRYVILLE",15851,0.991 
"63780","29031","Cape Girardeau MO","SCOTT CITY",2,0 
"63780","29201","Scott MO","SCOTT CITY",6522,1 
"63781","29017","Bollinger MO","SEDGEWICKVILLE",1072,1 
"63782","29017","Bollinger MO","STURDIVANT",375,1 
"63783","29157","Perry MO","UNIONTOWN",161,1 
"63784","29201","Scott MO","VANDUSER",272,1 
"63785","29017","Bollinger MO","WHITEWATER",16,0.018 
"63785","29031","Cape Girardeau MO","WHITEWATER",855,0.982 
"63787","29017","Bollinger MO","ZALMA",623,0.911 
"63787","29223","Wayne MO","ZALMA",61,0.089 
"63801","29133","Mississippi MO","SIKESTON",47,0.002 
"63801","29143","New Madrid MO","SIKESTON",2113,0.089 
"63801","29201","Scott MO","SIKESTON",21543,0.906 
"63801","29207","Stoddard MO","SIKESTON",76,0.003 
"63820","29133","Mississippi MO","ANNISTON",301,1 
"63821","29069","Dunklin MO","ARBYRD",999,1 
"63822","29069","Dunklin MO","BERNIE",45,0.016 
"63822","29207","Stoddard MO","BERNIE",2758,0.984 
"63823","29133","Mississippi MO","BERTRAND",1131,0.978 
"63823","29201","Scott MO","BERTRAND",25,0.022 
"63824","29201","Scott MO","BLODGETT",120,1 
"63825","29207","Stoddard MO","BLOOMFIELD",4429,1 
"63826","29155","Pemiscot MO","BRAGGADOCIO",178,1 
"63827","29155","Pemiscot MO","BRAGG CITY",1151,1 
"63828","29143","New Madrid MO","CANALOU",352,1 
"63829","29069","Dunklin MO","CARDWELL",1257,1 
"63830","29155","Pemiscot MO","CARUTHERSVILLE",7680,1 
"63833","29143","New Madrid MO","CATRON",235,0.836 
"63833","29207","Stoddard MO","CATRON",46,0.164 
"63834","29133","Mississippi MO","CHARLESTON",5633,0.931 
"63834","29201","Scott MO","CHARLESTON",418,0.069 
"63837","29069","Dunklin MO","CLARKTON",1700,0.994 
"63837","29143","New Madrid MO","CLARKTON",10,0.006 
"63839","29155","Pemiscot MO","COOTER",526,1 
"63841","29207","Stoddard MO","DEXTER",12887,1 
