"zcta5","county","pop2k","afact"
"ZIP Census Tabulation Area","county","Total Pop, 2000 census","zcta5 to county alloc factor"
"67511","20009",271,0.725 
"67511","20165",103,0.275 
"67512","20159",252,1 
"67513","20145",3,0.026 
"67513","20165",112,0.974 
"67514","20155",743,1 
"67515","20135",96,0.768 
"67515","20195",29,0.232 
"67516","20135",436,1 
"67518","20101",20,0.171 
"67518","20135",97,0.829 
"67519","20047",193,0.902 
"67519","20145",21,0.098 
"67520","20165",386,1 
"67521","20135",187,0.858 
"67521","20195",31,0.142 
"67522","20079",67,0.033 
"67522","20155",1967,0.967 
"67523","20083",52,0.128 
"67523","20145",355,0.872 
"67524","20159",669,1 
"67525","20009",1238,0.997 
"67525","20159",4,0.003 
"67526","20009",2736,0.973 
"67526","20159",44,0.016 
"67526","20185",31,0.011 
"67529","20145",431,1 
"67530","20009",19163,0.994 
"67530","20185",116,0.006 
"67543","20155",2001,1 
"67544","20009",3659,1 
"67545","20185",246,1 
"67546","20079",5,0.002 
"67546","20113",2474,0.941 
"67546","20155",14,0.005 
"67546","20159",137,0.052 
"67547","20047",2001,0.973 
"67547","20083",56,0.027 
"67548","20165",1516,1 
"67550","20145",5936,0.992 
"67550","20185",46,0.008 
"67552","20047",803,1 
"67553","20165",111,1 
"67554","20159",4491,1 
"67556","20051",22,0.06 
"67556","20135",24,0.066 
"67556","20165",318,0.874 
"67557","20047",17,0.023 
"67557","20145",39,0.053 
"67557","20151",29,0.039 
"67557","20185",650,0.884 
"67559","20145",4,0.067 
"67559","20165",56,0.933 
"67560","20135",1843,1 
"67561","20155",1682,1 
"67563","20047",333,0.795 
"67563","20057",72,0.172 
"67563","20083",14,0.033 
"67564","20009",408,1 
"67565","20009",98,0.198 
"67565","20165",398,0.802 
"67566","20155",615,1 
"67567","20009",557,0.728 
"67567","20145",141,0.184 
"67567","20165",26,0.034 
"67567","20185",41,0.054 
"67568","20155",285,1 
"67570","20095",131,0.096 
"67570","20155",1239,0.904 
"67572","20135",477,0.893 
"67572","20195",57,0.107 
"67573","20159",195,1 
"67574","20145",292,1 
"67575","20145",11,0.021 
"67575","20165",525,0.979 
"67576","20151",14,0.007 
"67576","20185",1979,0.993 
"67578","20185",1629,1 
"67579","20155",236,0.069 
"67579","20159",3173,0.931 
"67581","20155",529,1 
"67583","20151",386,0.322 
"67583","20155",763,0.636 
"67583","20185",51,0.042 
"67584","20063",36,0.104 
"67584","20101",11,0.032 
"67584","20135",285,0.824 
"67584","20195",14,0.04 
"67601","20051",23052,1 
"67621","20147",473,1 
"67622","20137",660,1 
"67623","20141",332,0.988 
"67623","20183",4,0.012 
"67625","20065",297,1 
"67626","20167",167,1 
"67628","20183",106,1 
"67629","20039",39,0.215 
"67629","20137",142,0.785 
"67631","20065",21,0.067 
"67631","20195",291,0.933 
"67632","20065",30,0.119 
"67632","20163",223,0.881 
"67634","20167",346,1 
"67635","20039",176,0.743 
"67635","20179",61,0.257 
"67637","20051",2227,0.909 
"67637","20195",224,0.091 
"67638","20183",284,1 
"67639","20147",206,0.99 
"67639","20163",2,0.01 
"67640","20051",68,0.127 
"67640","20167",466,0.873 
"67642","20065",1940,1 
"67643","20039",256,0.973 
"67643","20179",7,0.027 
"67644","20147",335,1 
"67645","20065",48,0.077 
"67645","20137",574,0.923 
"67646","20065",30,0.038 
"67646","20137",36,0.045 
"67646","20147",714,0.902 
"67646","20163",12,0.015 
"67647","20147",293,1 
"67648","20105",19,0.031 
"67648","20141",48,0.078 
"67648","20167",546,0.891 
"67649","20141",32,0.104 
"67649","20167",277,0.896 
"67650","20065",346,1 
"67651","20051",27,0.047 
"67651","20141",456,0.788 
"67651","20163",88,0.152 
"67651","20167",8,0.014 
"67653","20039",301,0.822 
"67653","20137",65,0.178 
"67654","20137",4453,1 
"67656","20065",5,0.026 
"67656","20195",187,0.974 
"67657","20065",50,0.119 
"67657","20163",369,0.881 
"67658","20141",32,0.222 
"67658","20167",112,0.778 
"67659","20065",126,1 
"67660","20051",72,1 
"67661","20147",3548,1 
"67663","20051",63,0.023 
"67663","20163",2733,0.977 
"67664","20137",23,0.071 
"67664","20147",301,0.929 
"67665","20009",38,0.007 
"67665","20167",5313,0.993 
"67667","20051",218,1 
"67669","20163",1994,1 
"67670","20147",46,1 
"67671","20051",1675,1 
"67672","20065",48,0.019 
"67672","20195",2486,0.981 
"67673","20141",71,0.497 
"67673","20167",72,0.503 
"67674","20051",81,1 
"67675","20141",4,0.015 
"67675","20163",257,0.985 
"676XX","20051",2,0.125 
"676XX","20163",7,0.438 
"676XX","20167",7,0.438 
"67701","20153",60,0.009 
"67701","20193",6603,0.991 
"67730","20153",1835,1 
"67731","20023",769,1 
"67732","20153",22,0.039 
"67732","20181",69,0.121 
"67732","20193",479,0.84 
"67733","20181",173,1 
"67734","20153",50,0.223 
"67734","20193",174,0.777 
"67735","20181",6102,1 
"67736","20063",263,1 
"67737","20063",479,0.854 
"67737","20179",82,0.146 
"67738","20063",460,0.731 
"67738","20179",169,0.269 
"67739","20039",15,0.046 
"67739","20153",313,0.954 
"67740","20065",5,0.003 
"67740","20179",1883,0.997 
"67741","20023",16,0.037 
"67741","20181",416,0.963 
"67743","20153",20,0.094 
"67743","20193",193,0.906 
"67744","20153",296,1 
"67745","20023",34,0.096 
"67745","20153",322,0.904 
"67747","20109",168,0.923 
"67747","20193",14,0.077 
"67748","20063",96,0.035 
"67748","20109",2350,0.853 
"67748","20179",4,0.001 
"67748","20193",306,0.111 
"67749","20039",2584,0.991 
"67749","20153",23,0.009 
"67751","20063",208,0.794 
"67751","20179",54,0.206 
"67752","20063",1492,0.965 
"67752","20179",54,0.035 
"67753","20153",25,0.055 
"67753","20179",118,0.259 
"67753","20193",313,0.686 
