"zcta5","county","pop2k","afact"
"ZIP Census Tabulation Area","county","Total Pop, 2000 census","zcta5 to county alloc factor"
"64037","29107",6087,0.998 
"64040","29101",6050,1 
"64048","29047",2417,0.603 
"64048","29049",1589,0.397 
"64050","29095",23436,1 
"64052","29095",21017,1 
"64053","29095",5762,1 
"64054","29095",4153,1 
"64055","29095",34006,1 
"64056","29095",15357,1 
"64057","29095",11050,1 
"64058","29095",6018,1 
"64060","29047",9645,1 
"64061","29037",129,0.048 
"64061","29101",2536,0.952 
"64062","29047",504,0.087 
"64062","29049",589,0.102 
"64062","29177",4695,0.811 
"64063","29095",20186,1 
"64064","29095",11265,1 
"64066","29095",87,1 
"64067","29107",5780,1 
"64068","29047",33068,1 
"64070","29095",2224,0.923 
"64070","29101",186,0.077 
"64071","29107",745,1 
"64072","29047",133,1 
"64074","29107",569,1 
"64075","29095",8743,0.96 
"64075","29107",365,0.04 
"64076","29101",363,0.041 
"64076","29107",8468,0.959 
"64077","29047",11,0.006 
"64077","29177",1967,0.994 
"64078","29037",6929,1 
"64079","29165",8284,1 
"64080","29037",9709,0.981 
"64080","29095",187,0.019 
"64081","29095",18042,1 
"64082","29037",1241,0.22 
"64082","29095",4410,0.78 
"64083","29037",12785,1 
"64084","29177",1447,1 
"64085","29177",8840,1 
"64086","29095",19727,1 
"64088","29095",1443,1 
"64089","29047",6946,0.876 
"64089","29165",982,0.124 
"64090","29037",112,1 
"64093","29101",24252,1 
"64096","29107",1132,0.98 
"64096","29195",23,0.02 
"64097","29107",1515,1 
"64098","29165",2943,1 
"64101","29095",335,1 
"64105","29095",2719,1 
"64106","29095",6142,1 
"64108","29095",6785,1 
"64109","29095",12252,1 
"64110","29095",17842,1 
"64111","29095",17745,1 
"64112","29095",8567,1 
"64113","29095",11371,1 
"64114","29095",23639,1 
"64116","29047",15846,1 
"64117","29047",13445,1 
"64118","29047",38908,1 
"64119","29047",25702,1 
"64120","29095",481,1 
"64123","29095",10757,1 
"64124","29095",13343,1 
"64125","29095",2370,1 
"64126","29095",6800,1 
"64127","29095",20831,1 
"64128","29095",14774,1 
"64129","29095",10293,1 
"64130","29095",25743,1 
"64131","29095",23193,1 
"64132","29095",15956,1 
"64133","29095",34025,1 
"64134","29095",23471,1 
"64136","29095",1088,1 
"64137","29095",10061,1 
"64138","29095",24940,1 
"64139","29095",1113,1 
"64145","29095",4792,1 
"64146","29095",1327,1 
"64147","29037",104,0.14 
"64147","29095",639,0.86 
"64149","29095",384,1 
"64150","29165",2891,1 
"64151","29165",22563,1 
"64152","29165",23371,1 
"64153","29165",3574,1 
"64154","29165",4636,1 
"64155","29047",16884,1 
"64156","29047",1054,1 
"64157","29047",3199,1 
"64158","29047",2405,1 
"64161","29047",427,1 
"64163","29165",725,1 
"64164","29165",239,1 
"64165","29047",61,1 
"64166","29047",248,1 
"64167","29047",409,1 
"64192","29095",19,1 
"64401","29021",1426,1 
"64402","29075",2564,1 
"64421","29003",869,1 
"64422","29063",420,1 
"64423","29003",11,0.014 
"64423","29147",776,0.986 
"64424","29081",4165,1 
"64426","29081",419,1 
"64427","29003",543,0.899 
"64427","29147",61,0.101 
"64428","29005",18,0.017 
"64428","29147",1041,0.983 
"64429","29025",691,0.063 
"64429","29049",5388,0.489 
"64429","29061",77,0.007 
"64429","29063",4860,0.441 
"64430","29003",74,0.092 
"64430","29063",726,0.907 
"64431","29147",392,1 
"64432","29147",123,1 
"64433","29147",190,1 
"64434","29147",489,1 
"64436","29003",811,1 
"64437","29087",975,1 
"64438","29075",283,1 
"64439","29021",412,0.277 
"64439","29165",1078,0.723 
"64440","29021",731,0.983 
"64440","29165",13,0.017 
"64441","29075",41,0.24 
"64441","29227",130,0.76 
"64442","29081",799,1 
"64443","29021",1075,1 
"64444","29021",47,0.033 
"64444","29165",1386,0.967 
"64445","29147",365,1 
"64446","29005",1158,0.989 
"64446","29087",13,0.011 
"64448","29021",1133,1 
"64449","29003",461,1 
"64451","29087",515,1 
"64453","29075",246,1 
"64454","29021",465,0.192 
"64454","29049",1951,0.808 
"64455","29003",27,0.059 
"64455","29147",432,0.941 
"64456","29081",10,0.006 
"64456","29227",1632,0.994 
"64457","29003",20,0.062 
"64457","29147",303,0.938 
"64458","29081",211,0.921 
"64458","29227",18,0.079 
"64459","29003",553,1 
"64461","29147",1013,1 
"64463","29003",56,0.034 
"64463","29063",137,0.084 
"64463","29075",1437,0.882 
"64465","29025",199,0.05 
"64465","29049",3803,0.95 
"64466","29087",560,1 
"64467","29081",179,1 
"64468","29147",14107,1 
"64469","29063",2177,1 
"64470","29087",1650,1 
"64471","29075",41,0.073 
"64471","29081",518,0.927 
"64473","29087",1584,1 
"64474","29049",218,0.243 
"64474","29063",679,0.757 
"64475","29075",12,0.025 
"64475","29147",382,0.781 
"64475","29227",95,0.194 
"64476","29147",415,1 
"64477","29049",3306,1 
"64479","29075",39,0.044 
"64479","29147",844,0.956 
"64480","29003",407,1 
"64481","29081",1166,1 
"64482","29005",2216,1 
"64483","29003",682,1 
"64484","29021",1020,0.848 
"64484","29165",183,0.152 
"64485","29003",7637,1 
