BRANCH_NAME,AGENCY_NO,BRANCH_NO,BUSINESS_ADDRESS1,BUSINESS_ADDRESS2,BUSINESS_CITY,BUSINESS_STATE,BUSINESS_ZIP
American Family - Jamaal Pruitt - 098188,2053,547,6400 Main St,Ste B,Grandview,MO,64030
American Family - Rod Sampson - 325175,2053,333,704 S Woodbine Rd,,Saint Joseph,MO,645072172
American Family - Ed Deornellis - 363165,2053,80,Po Box 126,,Chamois,MO,650240126
American Family - Larry Bybee - 083183,2053,45,Po Box 965,,Warsaw,MO,653550965
Daniel Boone Agency - Curt Ramsey - AD97201,92,292,223 S Broadway,,Salisbury,MO,65281
Karl J. Blandin Agency,1056,1,1803 S. Butler,,Harrisonville,MO,64701
Missouri Farm Bureau - Gerald Jansen - MEM1123,398,112,406 W. Washington St.,,Jackson,MO,63755
Daniel Boone Agency - Ron Harmon - A365001,92,28,103 E Pearce Blvd.,,Wentzville,MO,63385
American Family - Douglas Smith - 073183,2053,361,13905 E 39th St S Lowr Level,,Independence,MO,640553378
"Hawk Race Consultants, Ltd. (1)",2575,1,111 Great Neck Rd,Ste 400,Great Neck,NY,11021
American Family - Danny Marra - 345168,2053,240,2841 S Fremont Ave,,Springfield,MO,658043653
American Family - Ken Oberlohr - 211160,2053,285,2256 Kingsway Dr,,Cape Girardeau,MO,637014413
Missouri Farm Bureau - Aaron Birge - MEM1374,398,352,113 E Jackson St,,Mexico,MO,65265
Daniel Boone Agency - Ken Knierim - AD62601,92,266,1948 S. Glenstone Ave; Ste 16,,Springfield,MO,65804
Missouri Farm Bureau - Heather Luebbert - MEM1112,398,200,949 S. Country Club Dr.,,Jefferson City,MO,65109
Daniel Boone Agency - Chris Shepard - A998301,92,88,2152 J. Bird Drive,,Poplar Bluff,MO,63901
Barton Insurance Services,590,1,8 N. Main St.,,Farmington,MO,63640
"FCNB Insurance Services, Inc. (1)",1842,1,404 W. Main St.,,Steelville,MO,65565
Lakenan Insurance Agency,133,1,890 Rozier St.,,Ste. Genevieve,MO,63670
"Jay Greco Insurance Agency, Inc. (1)",1062,1,1040 NW South Outer Rd.,,Blue Springs,MO,64015
"Whites Insurance Agency of Purdy, LLC (1)",1044,1,RR 1,,Purdy,MO,65734
"Finley Agency, Inc. (1)",549,1,1700 E. 4th St.,,Joplin,MO,64802
Laura L. Schoenekase (1),2106,1,16076 Foster Street,,Overland Park,KS,66085
Jerry L. Brockhaus Insurance (1),922,1,6801 W. 121st St.,,Overland Park,KS,662092005
Kirby Insurance,2322,1,205 E. Main St.,,East Prairie,MO,63845
"Community Financial Insurance Center, LLC (1)",2109,1,2201 Forsythe Ave.,,Monroe,LA,71201
Farmers Mutual of Livingston County (1),1477,1,821 Washington,,Chillicothe,MO,64601
Daniel Boone Agency - Nace Pigg - AA95001,92,136,1218 Walnut,,Doniphan,MO,63935
Missouri Farm Bureau - Bill Burnett - MEM212,398,31,1470 E. Bingham Rd.,,Boonville,MO,65233
American Family - Forrest Fortner - 162177,2053,113,16 Lakenny Lane,,Fenton,MO,63026
American Family - Brandi Cavaness - 086187,2053,48,4702 Shrewsbury Ave,,Saint Louis,MO,63119
American Family - Josh Thomas - 098169,2053,383,Po Box 1068,,Platte City,MO,640791068
American Family - Scott Wineinger - 345175,2053,434,Po Box 8524,,Saint Joseph,MO,645088524
Rick Anton (1),1840,1,1391 Covington Manor Lane,,Saint Louis,MO,63125
American Family - Krystal Stegemann - 393165,2053,367,500 Jefferson St,,Fulton,MO,652512630
"CC Services, Inc. - Eugene Kennedy - 04674",2041,97,404 S Blanche,PO Box 310,Mounds,IL,62964
"Insurance Consultants, Inc. - James Driscoll",540,7,15021 Claymoor Ct.,#5,Chesterfield,MO,63017
Chase Insurance Agency,205,8,10193 W. State Hwy. E,Suite A,Potosi,MO,63664
American Family - Tom Mayfield - 102657,2053,504,8675 College Blvd.,Suite 250,Overland Park,KS,66210
American Family - Barry Menzel - 068187,2053,257,13086 Tesson Ferry Rd,,Saint Louis,MO,631283442
Jim Gasper Insurance Agency (1),1821,1,11900 College Blvd.,Suite 202,Overland Park,KS,66210
"CC Services, Inc. - Jerry Rainey - 14478",2041,162,4200 N Cloverleaf Dr,Ste P,Saint Peters,MO,63376
Integrity Insurance Services,1676,1,8900 Indian Creek Parkway,Suite 250,Overland Park,KS,66210
American Family - Michael O'Hare - 177164,2053,281,234 Old Meramec Sta Rd Ste G,,Manchester,MO,630215311
Daniel Boone Agency - Brent Branstetter - AC17401,92,182,1420 Bus 61 S Ste G,,Bowling Green,MO,63334
Daniel Boone Agency - Craig Golmen - AC41801,92,197,"4560 S. Campbell Ave, Ste E",,Springfield,MO,65810
Missouri Farm Bureau - Howard Weckel - MEM1336,398,330,159 Arnold Crossroads Center,,Arnold,MO,63010
Daniel Boone Agency - Roma Wonneman - AB87101,92,174,1400 Forum Blvd.,,Columbia,MO,65203
Daniel Boone Agency - Marcie Singleton - A998701,92,92,2805 Fairway Estates Ct,,Wentzville,MO,63385
Daniel Boone Agency - Pam Barb - AC41501,92,194,3141 C West Broadway,,Sedalia,MO,65301
Missouri Farm Bureau - Rocky Mcculloch - MEM154,398,138,103 W. 11th St.,,Lamar,MO,64759
Daniel Boone Agency - Craig Hibdon - AA86801,92,133,500 E Gay St,,Warrensburg,MO,64093
Daniel Boone Agency - Roger Moore - AB35901,92,148,17201 East 40 Hwy,Suite 101,Independence,MO,64055
Missouri Farm Bureau - Greg Shelley - MEM286,398,189,388 S. Clay St.,Suite A,Memphis,MO,63555
Missouri Farm Bureau - Justin Clark - MEM1169,398,46,1011 Sainte Genevieve Ave.,,Farmington,MO,63640
American Family - Shannon Motzkus - 361168,2053,272,610 S Grand Ave,,Houston,MO,654831531
Daniel Boone Agency - Mark Wallace - AC53101,92,206,607a Billington,,Kennett,MO,63857
Missouri Farm Bureau - Ashley White - MEM1346,398,351,103 S Oak Street,,Nevada,MO,64772
Daniel Boone Agency - Rhonda Watkins - AC70701,92,214,"706 W Main St, PO Box 56",,Princeton,MO,64673
Daniel Boone Agency - Chad Nichols - AC22801,92,185,7090 North Oak,,Gladstone,MO,64118
"Custom Insurance Services, Inc. (1)",148,1,200 Mississippi Ave.,,Crystal City,MO,63019
American Family - Darlene Shelley - 229170,2053,352,220 N Massey Blvd,,Nixa,MO,657148324
American Family - Cameron Chenoweth - 073180,2053,549,3709 S Noland Rd,Ste A,Independence,MO,64055
"CC Services, Inc. - Jeret Smith - 12021",2041,197,106 Cross Creek Blvd,PO Box 337,Salem,IL,62881
"Cabool Insurance Agency, Inc. (1)",1257,1,620 Ozark,,Cabool,MO,65689
"CC Services, Inc. - Dawn Ninness - 19299",2041,145,12358 State Rt. 143,,Highland,IL,62249
"CC Services, Inc. - Felix Floyd - 04592",2041,62,929 Edwardsville Rd,,Wood River,IL,62095
American Family - Roger Nichols - 200179,2053,279,Po Box 370,,Saint Peters,MO,633760007
"CC Services, Inc. - L Daniel Metz - 03776",2041,132,217A North St,PO Box 178,Brighton,IL,62012
"CC Services, Inc. - Adam Schwery - 19258",2041,182,8303 N Congress Ave,,Kansas City,MO,64152
American Family - Bill Lovell - 044190,2053,225,23 Forum Shopping Ctr,,Chesterfield,MO,630173006
"CC Services, Inc. - Terrence Butler - 18472",2041,22,3907 North Belt West,,Belleville,IL,62226
"CC Services, Inc. - Luke Petrov - 23276",2041,268,200 S. Kirkwood Rd.,Suite 130,Kirkwood,MO,63122
American Family - Jeff Johnston - 097169,2053,183,Po Box 443,,Smithville,MO,640890443
"CC Services, Inc. - Michael Callier - 16544",2041,24,400 Lake St Louis Blvd,,Lake Saint Louis,MO,63367
"CC Services, Inc. - Michael Pittman - 20123",2041,155,816 S Main St,Ste 3,Columbia,IL,62236
"CC Services, Inc. - Kelly Ruby - 20226",2041,176,200 Kirkwood Rd,Ste 120,Kirkwood,MO,63122
"Epic Insurance, LLC",386,1,4045 NE Lakewood Way,Suite 100,Lee's Summit,MO,64064
AnaMarie Inmon Agency (1),2439,1,6260 Mexico Rd,,Saint Peters,MO,63376
"CC Services, Inc. - Tanya Ferguson - 19686",2041,53,1636 Carlyle Avenue,,Belleville,IL,62221
Jim Leach Insurance Agent (1),471,1,2366 Hwy. 94 S. Outer Rd.,Suite A,Saint Charles,MO,633038301
"CC Services, Inc. - Dustin Farrell - 20217",2041,52,105 S Pointe Dr,,Edwardsville,IL,62025
American Family - Ron Brown - 025183,2053,37,13905 E 39th St S Lowr Level,,Independence,MO,640553378
"CC Services, Inc. - Evan Finke - 19389",2041,58,925 E Harris Ave,,Greenville,IL,62246
Alliant Insurance Services Inc. (1),2464,1,2415 E. Camelback,Suite 420,Phoenix,AZ,85016
"Insurance Consultants, Inc. - Jeff Hug",540,4,1068 Bryan Rd.,,O Fallon,MO,63366
American Family - Joseph O'Shaughnessy - 060187,2053,283,23 N Gore Ave Ste 307,,Webster Groves,MO,631192300
"CC Services, Inc. - Kyle Given - 20964",2041,68,4200 Little Blue Pkwy,Ste 420,Independence,MO,64057
"CC Services, Inc. - Richard Mealiff - 04842",2041,127,101 Collins,PO Box 50,Mendon,IL,62351
American Family - Bob Dean - 194170,2053,74,809 S Maiden Ln,,Joplin,MO,648013803
American Family - David Haik - 340168,2053,138,2814 E Sunshine St,,Springfield,MO,658042049
Thomas Insurance Group,205,31,1925 William St.,,Cape Girardeau,MO,63703
American Family - Tara Brewer - 255179,2053,31,404 N Franklin St,,Cuba,MO,654531719
American Family - Ron King - 208650,2053,500,3010 Four Wheel Dr.,,Lawrence,KS,66047
Missouri Farm Bureau - Robin Venters - MEM130,398,216,201 Independence Ave.,,Kennett,MO,63857
Missouri Farm Bureau - Cliff Addison - MEM963,398,3,30828 E. 222nd Ln.,,Bethany,MO,64424
"Gary W. Zeysing Insurance Agency, Inc. (1)",960,1,203 S. Main,Suite C,Grain Valley,MO,64029
American Family - Eldon Skinner - 206170,2053,358,Po Box 47,,Purdy,MO,657340047
American Family - Warren Stuckmeyer - 229160,2053,379,6432 Old Lemay Ferry Rd,,Imperial,MO,630522899
The LePage Agency,2200,1,121 W Dunklin St,,Jefferson City,MO,65101
Arlene Lear Insurance Agency,655,1,121 S. Ohio,,Humansville,MO,65674
Falco Insurance Agency (1),793,1,601 W Nifong,Bldg 6A Ste 6,Columbia,MO,65203
"Murphy and Sitz Insurance, LLC (1)",1975,1,609 S. Main St.,,Sikeston,MO,63801
Milner Insurance Agency (1),715,1,"108 Green Meadows Rd., Suite 4",,Columbia,MO,65203
"CC Services, Inc. - Jessica DeHaan - 16874",2041,39,1200 W Bloomington Rd,,Champaign,IL,61821
Daniel Boone Agency - Nicole Williams - 14D88003,92,336,4830 Maple Dr #7,,Pleasant Hill,IA,50327
Daniel Boone Agency - Jonathan Miller - AD44501,92,256,"PO Box 399, 514 State St",,Mound City,MO,64470
Missouri Farm Bureau - Nathan Miller - MEM1286,398,312,307 S. Main St.,,"Palmyra, MO 63461",MO,63461
Missouri Farm Bureau - Baughn Merideth - MEM930,398,144,1208 State Hwy. 84,,Caruthersville,MO,63830
Daniel Boone Agency - Kelly Degraffenreid - A218201,92,13,1001 E Broadway,,Monett,MO,65708
Daniel Boone Agency - Randy Rader - A237001,92,16,101 South Main,,Butler,MO,64730
Missouri Farm Bureau - Michael Smith - MEM1291,398,299,1329 Spur Dr.,Suite 180,Marshfield,MO,65706
Daniel Boone Agency - Carol Ford - A888001,92,67,110 Row St,,Jamestown,MO,65046
Missouri Farm Bureau - Jeffrey Soell - MEM1240,398,258,12674 Lamplighter Square,,Saint Louis,MO,63128
"Insurance Consultants, Inc. - Jack Coleman",540,14,4167 Crescent Dr,Suite 101,Saint Louis,MO,63129
Insurance Concepts of St. Louis - Jeff Hug,153,2,1068 Bryan Rd.,,O'Fallon,MO,63366
American Family - Steven Petty - 090181,2053,297,404 S Ridge Ave,,Liberty,MO,640682149
American Family - Aimee Miner - 258160,2053,480,Po Box 216,,Park Hills,MO,636010216
"Hagerty Rose & McPherron, Inc. (1)",50,1,520 W 103rd St,,Kansas City,MO,64114
USI Midwest - Chicago,2265,1,"100 South Wacker Drive, 16th Floor",,Chicago,IL,60606
Hajko Insurance Agency,1442,1,550 Branson Landing Blvd.,,Branson,MO,65616
American Family - Michelle Underwood - 052663,2053,542,4701 College Blvd,Ste 215,Leawood,KS,662111608
"Ramsey Financial Services, Inc. (1)",2390,1,205 E 5th St,,Bowen,IL,62316
Roger Kohl Insurance,1099,1,408 Walker St.,Suite B,Macon,MO,635521954
"Sumner Insurance Services, LLC (1)",2538,1,2306 W Broadway,,Sedalia,MO,65301
Gilbertson Insurance Agency (1),1825,1,1852 N. Commerce Dr.,,Nixa,MO,65714
Linda S. Teeter Insurance Agency (1),1197,1,1321 Illinois,,Joplin,MO,64801
"Grossnickle Insurance Agency, Inc. (1)",987,1,211 S. Franklin,,Kirksville,MO,63501
Daniel Boone Agency - Jim Summers - AA66801,92,118,"11647 Gravois Rd., Suite 200",,Saint Louis,MO,63126
American Family - Kevin Scott - 031190,2053,346,5430 Lemay Ferry Rd Ste 1,,Saint Louis,MO,631292378
Missouri Farm Bureau - Don Lockman - MEM1130,398,130,1330c S. Sam Houston Blvd.,,Houston,MO,65483
"Naught-Naught Insurance Agency, Inc. - Eldon",9,12,1804 Business Hwy. 54,Suite A,Eldon,MO,65026
Missouri Farm Bureau - Pat Davie - MEM1061,398,64,7 N.W. 72 Nd. St.,,Gladstone,MO,64118
Missouri Farm Bureau - Don Wapelhorst - MEM1232,398,250,105 Hwy C Plz,,Moscow Mills,MO,63362
